Japanese,Prompt
最高画質,"masterpiece"
超高画質,"best quality"
高詳細,"ultra-detailed"
4K解像度,"4k resolution"
8K解像度,"8k resolution"
超高解像度,"extremely detailed"
美麗イラスト,"beautiful detailed"
高解像度,"highres"
傑作,"masterpiece, best quality"
極限の詳細,"depth of field, cinematic lighting, masterpiece, best quality, ultra-detailed"
イラスト向け最高画質,"masterpiece, best quality, illustration, beautiful detailed"
実写向け最高画質,"masterpiece, best quality, photorealistic, ultra-detailed, 8k resolution"
高品質な線画,"clean lineart"
トレンディなイラスト,"trending on artstation"
鮮明な色彩,"vibrant colors"
写実的なディテール,"realistic details"
プロ仕様のライティング,"professional lighting"
